"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-01",,"82","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-02",,"82","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-03",,,
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-04",,"82","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-05","0.41","81","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-06","0.02","78","66"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-07","0.00","79","71"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-08","0.10",,
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-09","0.00","81","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-10","0.02",,
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-11","0.00","78","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-12","0.00",,
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-13","0.14","82","71"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-14","0.18","77","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-15","0.00","81","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-16","0.00","82","71"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-17","0.00","79","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-18","0.00","81","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-19","0.00","81","69"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-20","0.00","81","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-21","0.00","82","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-22","0.26","81","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-23","0.00","77","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-24","0.00","79","64"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-25","0.00","79","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-26","0.03","77","69"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-27","0.08","73","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-28","0.00","77","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-29","0.12","77","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-30","0.00","81","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-01-31","0.17","82","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-01","0.23",,
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-02","0.00","80","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-03","0.02","80","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-04","0.72",,
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-05","0.03","79","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-06","0.03",,
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-07","0.51","88","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-08","0.66","84","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-09","0.11","82","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-10","0.00","81","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-11","0.00","82","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-12","0.00","82","69"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-13","0.00","79","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-14","0.00","76","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-15","0.00","81","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-16","0.10",,
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-17","0.03","78","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-18","0.90","79","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-19","0.01","81","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-20","0.00","82","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-21","0.00","81","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-22","0.00","82","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-23","0.00","81","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-24","0.00",,
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-25","0.00",,
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-26",,"78","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-27",,"81","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-02-28",,"81","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-03-01",,"79","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-03-02","0.13","75","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-03-03",,"81","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-03-06",,"82","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-03-07","0.05","82","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2014-03-08","0.05",,
