"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-01","0.00","73","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-02","0.00","77","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-03","0.00","76","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-04","0.02","77","65"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-05","0.01","75","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-06","0.00","76","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-07","0.00","76","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-08","0.00","79","65"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-09","0.00","79","64"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-10","0.00",,
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-11","0.00","81","81"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-12","0.00",,
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-13","0.00","78","78"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-14","0.00","81","66"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-15","0.00","77","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-16","0.00","81","74"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-17","0.00","80","76"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-18","0.00","79","78"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-19","0.00","78","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-20","0.00","78","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-21","0.00","73","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-22","0.00","76","76"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-23","0.00","75","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-24","0.00",,
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-25","0.00","78","71"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-26","0.00","80","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-27","0.00","78","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-28","0.00","79","69"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-29","0.00","76","71"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-30","0.00","74","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-01-31","0.00","71","71"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-01","0.00","78","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-02","0.00","78","64"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-03","0.00","80","62"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-04","0.00","79","78"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-05","0.00","81","78"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-06","0.00",,
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-07","0.00","77","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-08","0.00","78","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-09","0.00","75","64"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-10","0.00","78","65"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-11","0.00","77","69"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-12","0.00","76","76"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-13","0.00","81","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-14","0.00","82","77"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-15","0.00","80","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-16","0.00",,
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-17","0.00",,
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-18","0.00","73","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-19","0.00","73","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-20","0.00","73","69"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-21","0.00","77","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-22","0.00","73","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-23","0.00","78","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-24",,"78","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-25","0.00","74","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-26","0.00","80","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-27","0.00","71","71"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-02-28","0.00",,
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-01","0.00",,
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-02",,"83","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-03",,"86","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-04",,"84","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-05",,"80","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-06","0.00","78","67"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-07","0.00","78","78"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-08","0.00",,
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-09",,"78","71"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-10","0.00",,
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-11","0.00","86","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-12","0.00","76","76"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-13","0.00","82","71"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-14","0.00",,
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-15","0.00","80","80"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-16","0.00","80","80"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-17","0.00","75","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-18","0.00","78","74"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-19","0.00","79","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-20","0.00","81","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-21","0.00",,
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-22","0.00","75","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-23","0.00","83","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-24","0.34",,
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-25","0.00","78","75"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-26","0.00","79","77"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-27","0.00","84","76"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-28","0.00",,
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-29","0.01","80","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-30","0.00","84","76"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-03-31","0.00","84","76"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-04-01","0.00","83","76"
"USW00022519","KANEOHE BAY MCAS, HI US","2017-04-02","0.01","83","75"
