"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-01","0.00","76","60"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-02","0.73","78","63"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-03","0.00","75","63"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-04","0.00","76","62"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-05","0.00","77","60"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-06","0.00","76","65"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-07","0.00","76","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-08","0.00","79","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-09","0.00","80","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-10","0.00","80","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-11","0.00","81","63"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-12","0.00","80","63"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-13","0.00","80","62"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-14","0.00","81","63"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-15","0.00","84","66"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-16","0.00","78","69"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-17","0.01","81","67"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-18","0.00","81","65"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-19","0.00","82","69"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-20","0.00","82","66"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-21","0.00","82","65"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-22","0.00","82","64"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-23","0.04",,
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-24","0.16","73","67"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-25","0.01","73","67"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-26","0.00","77","69"
"USW00022519","KANEOHE BAY MCAS, HI US","2015-01-27","0.02","80","70"
