"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-01","0.04","80","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-02","0.00","79","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-03","0.00","78","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-04","0.00","79","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-05","0.00","79","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-06","0.02","79","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-07","0.00","77","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-08","0.02","80","71"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-09","0.23","80","71"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-10","0.01","79","67"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-11","0.00","80","71"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-12","0.00","81","66"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-13","0.00","81","67"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-14","0.00","80","67"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-15","0.00","79","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-16","0.00","79","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-17","0.00","78","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-18","0.00","79","74"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-19","0.04","78","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-20","0.36","81","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-21","0.00","78","74"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-22","0.00","78","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-23","0.05","77","72"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-24","0.00","80","74"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-25","0.00","78","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-26","0.00","82","66"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-27","0.31","78","69"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-28","0.00","79","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-29","0.00","79","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-30","0.02","85","66"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-01-31","0.24","82","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-02-01","0.45","82","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-02-02","0.23","84","73"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-02-03","0.00","81","70"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-02-04","0.33","81","71"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-02-05","0.84","79","69"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-02-06","0.00","77","66"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-02-07","0.09","78","65"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-02-08","0.00","76","64"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-02-09","0.00","76","68"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-02-11","0.01","77","66"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-02-12","0.00","79","64"
"USW00022519","KANEOHE BAY MCAS, HI US","2018-02-13","0.03","80","72"
