0010731895 -99.99 -99.99   0.42  -0.48   0.06   0.00   0.10   0.44  -0.76  -0.67  -1.44  -1.07   
0010731896  -1.01  -0.15  -0.06  -0.16  -0.66  -0.25  -0.02  -0.23  -1.39  -1.39  -0.43  -1.00   
0010731897  -1.15  -1.06   1.14   1.17   0.39  -1.70  -2.04  -0.39  -0.65  -0.97  -2.28  -0.99   
0010731898  -0.77  -1.18  -2.01  -1.62  -1.82  -1.12  -0.95   0.90   1.00   1.05   0.79   0.57   
0010731899   0.56   0.32   0.70  -0.15  -1.08  -1.80  -0.66  -0.14  -0.80  -1.34  -1.22  -0.15   
0010731900  -0.59   0.61   0.49   1.64   0.58   1.85   1.05   1.18  -0.51   0.61   0.77   0.70   
0010731901  -0.12  -0.21  -0.11   0.05   0.49   0.15  -0.53   0.57   1.11   1.15  -0.75  -0.30   
0010731902  -0.23   0.77   0.97   0.66  -0.12  -2.28  -2.92  -2.62  -0.90   0.19   0.49   0.46   
0010731903  -0.16   1.17   0.93   0.72  -0.03   0.15   0.47  -0.08  -1.02  -0.96  -1.42  -1.43   
0010731904  -1.24  -1.12  -1.11  -1.47  -1.61  -1.36  -0.80   0.03  -0.46  -1.24  -1.90  -1.23   
0010731905  -0.18   0.65   0.17  -0.18  -0.48   0.26   0.31   0.34  -0.36   0.35  -0.51   0.20   
0010731906  -0.28  -0.49  -0.06  -0.92   0.02  -0.94   0.78   0.40   2.00   1.53   1.10  -0.49   
0010731907  -1.58  -1.40  -1.78  -0.35   0.76   1.13   0.77  -0.62   0.49   0.05   0.89   0.73   
0010731908   0.83   0.64  -0.11   0.48   0.42   0.49   0.12  -0.57  -0.78  -1.14  -1.43  -1.25   
0010731909  -1.75  -0.36   0.61   1.49   1.44   1.63   1.39   0.70  -0.70  -0.84  -1.22  -1.06   
0010731910  -1.16  -0.35  -1.70  -1.49  -1.83   0.35   1.19   0.97  -0.29  -0.75  -0.60  -0.81   
0010731911  -1.11  -1.29  -1.67  -0.59  -0.44   0.32  -0.31   0.37   0.12   0.02   0.07   1.04   
0010731912   1.13   0.92   1.05   1.84   1.79   1.29   0.05   0.73   0.80   0.77  -0.16  -0.01   
0010731913   0.30   0.88   1.25   0.38   0.12  -0.99  -0.41  -0.84   0.33   0.15   0.04  -1.63   
0010731914  -2.25  -1.79  -1.75  -1.01  -1.72  -1.59  -2.09  -0.10   0.68   0.98   0.39   0.07   
0010731915   0.29   0.17  -0.53  -1.96  -1.36  -0.76   0.41   0.02   0.29   0.91   0.55   0.69   
0010731916  -0.13  -0.33  -1.45  -1.59  -1.17  -0.59   2.72   2.54   2.66  -1.20  -1.01  -0.69   
0010731917   0.08   0.44   1.28   0.58   0.12  -1.10  -0.60   0.39   1.37   0.73  -0.28  -2.79   
0010731918  -0.94  -1.19  -1.61  -1.35  -1.03   0.27  -1.05  -0.83  -0.63   1.50   1.66   1.83   
0010731919   0.76   0.91   0.96   0.42   0.53   0.24   1.06   1.28   0.56   0.60   0.16   1.26   
0010731920   1.17   0.67   0.51   1.14   1.52   1.33   0.29   0.75   0.50  -0.03  -0.86   0.18   
0010731921   0.14   0.38  -0.69   0.34  -0.19  -0.61  -1.63  -0.96  -0.57  -0.67  -0.52  -0.75   
0010731922  -0.01   0.31   1.70   1.06   1.42   0.46   0.33  -1.01  -1.67  -1.33  -1.28  -0.01   
0010731923  -0.11   0.56   0.11   0.57   1.42   1.28   1.12   0.52  -0.15  -0.25  -0.32   0.40   
0010731924   0.86   0.40  -0.40  -0.53  -0.29   0.52  -0.13  -0.77  -1.23  -1.51  -2.27  -1.24   
0010731925   0.93   1.41   0.10  -2.16  -2.43  -2.23  -1.40  -1.97  -1.46  -0.14   0.80   0.70   
0010731926   0.59   0.19   0.66  -0.67  -0.75  -0.81  -0.04   0.98   1.04   0.77   0.40   0.55   
0010731927  -0.35  -0.39  -0.87  -0.44  -1.21  -0.75  -0.43  -0.21  -1.52  -1.23  -0.79   0.68   
0010731928  -0.10  -0.56  -1.34   0.93   1.18   2.36   1.46   1.66  -0.25  -0.03  -0.33  -1.11   
0010731929  -0.96   0.45   3.09   2.53   2.12   0.48   0.15  -1.28  -0.71   0.58   2.24   1.74   
0010731930   1.09  -1.51  -1.06  -1.70  -0.81  -1.62  -1.23  -2.05  -0.07   0.35   1.27   0.24   
0010731931  -0.23  -1.85  -1.58  -1.37  -1.16  -1.47  -0.92  -0.67  -0.64  -1.17  -1.63   0.51   
0010731932   1.25   1.78   0.33  -0.61  -0.51  -0.04   0.29   0.35   0.59   1.75   1.28   1.88   
0010731933   0.58   0.81  -0.24   0.63   0.12  -0.25  -0.18   0.12   0.00  -0.99  -1.55  -1.88   
0010731934  -1.64  -1.07  -0.32  -0.30  -0.26  -0.21   0.54   1.07   0.47   1.05   0.64   0.58   
0010731935  -1.08  -1.57  -0.45   0.32   0.67   0.17  -0.29  -0.37  -0.74  -0.71  -0.75  -0.64   
0010731936   1.26   1.89   1.53   0.35  -0.68  -0.82  -0.84   0.16   0.59  -0.32  -1.07  -0.12   
0010731937   1.08   1.55   0.61   0.07   0.21   0.40  -0.33  -0.25   0.09   1.23   0.83   0.18   
0010731938  -1.20  -2.32  -1.26   0.46   0.98   1.00   0.48   0.61  -0.17  -1.87  -1.65  -1.76   
