sample_year,state_code,region,quarter,mean_varroa,max_varroa,nosema,abpv,amsv1,cbpv,dwv,dwvb,iapv,kbv,lsv2
2015,ND,Northern Rockies & Plains,Q3,0.77,4.75,0.00625,0.0,0.0,0.0,44.285714285714285,0.0,30.0,30.0,0.0
2015,ND,Northern Rockies & Plains,Q4,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,30.0
2015,NJ,Northeast,Q2,1.4166666666666667,3.55,0.6166666666666667,0.0,0.0,0.0,55.0,0.0,0.0,0.0,50.0
2015,NJ,Northeast,Q3,4.228695652173913,12.47,0.2456521739130435,63.333333333333336,0.0,50.0,60.0,0.0,34.0,30.0,55.0
2015,NJ,Northeast,Q4,5.2625,9.97,0.0,60.0,0.0,30.0,72.5,0.0,80.0,0.0,0.0
2015,NM,Southwest,Q3,14.152222222222223,22.38,0.05555555555555555,0.0,0.0,50.0,68.88888888888889,0.0,55.0,0.0,0.0
2015,NM,Southwest,Q4,11.568666666666667,28.33,0.0,50.0,0.0,0.0,58.0,0.0,0.0,30.0,30.0
2015,NY,Northeast,Q2,1.6527777777777777,11.15,0.375,0.0,0.0,63.333333333333336,61.875,0.0,50.0,30.0,50.833333333333336
2015,NY,Northeast,Q3,1.9214285714285713,3.76,0.0642857142857143,90.0,0.0,0.0,65.0,0.0,50.0,0.0,64.0
2015,OH,Ohio Valley,Q3,3.6263636363636365,8.95,0.04318181818181818,35.55555555555556,0.0,40.0,58.18181818181818,0.0,52.0,30.0,35.0
2015,OH,Ohio Valley,Q4,7.11,7.11,0.0,90.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
2015,PA,Northeast,Q2,1.1666666666666667,5.84,0.15,0.0,0.0,0.0,50.0,0.0,60.0,0.0,32.5
2015,PA,Northeast,Q3,3.5725,10.02,0.08125,0.0,0.0,60.0,53.333333333333336,0.0,30.0,0.0,50.0
2015,PA,Northeast,Q4,18.4,18.4,0.5,30.0,0.0,0.0,70.0,0.0,0.0,0.0,30.0
2015,SC,Southeast,Q2,2.17,6.51,0.0,0.0,0.0,0.0,67.5,0.0,60.0,70.0,40.0
2015,SC,Southeast,Q3,3.055,6.19,0.037500000000000006,70.0,0.0,60.0,73.33333333333333,0.0,60.0,50.0,40.0
2015,SD,Northern Rockies & Plains,Q2,0.6633333333333333,3.65,1.7555555555555555,30.0,0.0,0.0,46.0,0.0,44.0,0.0,51.42857142857143
2015,SD,Northern Rockies & Plains,Q3,2.19,11.09,0.60625,70.0,0.0,40.0,57.142857142857146,0.0,0.0,0.0,40.0
2015,SD,Northern Rockies & Plains,Q4,3.527333333333333,13.7,0.11333333333333333,63.75,0.0,30.0,55.0,0.0,50.0,35.0,43.333333333333336
2015,TN,Southeast,Q2,3.3113333333333332,9.16,0.06333333333333332,0.0,0.0,70.0,56.666666666666664,0.0,56.666666666666664,90.0,60.0
2015,TX,South,Q1,1.366,4.75,0.22000000000000003,0.0,0.0,0.0,46.666666666666664,0.0,0.0,70.0,50.0
2015,TX,South,Q2,1.4799999999999998,3.05,0.65,75.0,0.0,40.0,38.0,0.0,33.333333333333336,80.0,46.666666666666664
2015,TX,South,Q3,3.48,6.77,0.008333333333333333,47.5,0.0,30.0,71.66666666666667,0.0,90.0,0.0,63.333333333333336
2015,TX,South,Q4,0.45999999999999996,1.91,0.030000000000000006,0.0,0.0,0.0,40.0,0.0,0.0,0.0,40.0
2015,UT,Southwest,Q1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
2015,UT,Southwest,Q2,0.891875,4.5,0.08437499999999999,30.0,0.0,60.0,41.0,0.0,48.57142857142857,90.0,53.333333333333336
2015,UT,Southwest,Q3,6.0042857142857144,14.59,0.19285714285714287,0.0,0.0,40.0,61.42857142857143,0.0,85.0,66.66666666666667,55.0
2015,VA,Southeast,Q2,1.2333333333333334,3.33,0.09999999999999999,0.0,0.0,0.0,66.66666666666667,0.0,0.0,0.0,30.0
2015,VA,Southeast,Q3,5.977499999999999,12.82,0.3666666666666667,40.0,0.0,30.0,63.333333333333336,0.0,30.0,0.0,55.0
2015,VA,Southeast,Q4,5.537777777777778,15.16,0.1111111111111111,46.666666666666664,0.0,80.0,67.77777777777777,0.0,30.0,55.0,50.0
2015,VT,Northeast,Q2,5.4350000000000005,8.05,0.775,0.0,0.0,30.0,85.0,0.0,0.0,0.0,75.0
2015,VT,Northeast,Q3,3.480454545454545,9.53,0.12272727272727274,0.0,0.0,52.0,61.578947368421055,0.0,40.0,0.0,30.0
2015,WI,Upper Midwest,Q2,2.08375,5.57,0.1375,50.0,0.0,30.0,56.666666666666664,0.0,40.0,0.0,66.66666666666667
2015,WI,Upper Midwest,Q3,13.063846153846155,47.39,0.18846153846153849,30.0,0.0,46.666666666666664,66.15384615384616,0.0,62.5,40.0,40.0
2015,WI,Upper Midwest,Q4,13.555,26.82,0.30000000000000004,90.0,0.0,0.0,85.0,0.0,60.0,60.0,70.0
2015,WV,Ohio Valley,Q3,4.557916666666666,13.32,0.01875,30.0,0.0,42.0,56.52173913043478,0.0,30.0,0.0,38.333333333333336
2016,AL,Southeast,Q1,2.0020000000000002,4.49,0.030000000000000006,0.0,0.0,0.0,50.0,0.0,30.0,0.0,80.0
2016,AL,Southeast,Q2,1.6157142857142859,5.64,0.19285714285714287,0.0,0.0,30.0,60.0,0.0,80.0,0.0,40.0
2016,AL,Southeast,Q3,4.166,12.64,0.15,30.0,0.0,46.666666666666664,87.14285714285714,52.0,60.0,90.0,30.0
2016,CA,West,Q1,0.4853846153846154,1.81,0.6230769230769231,35.0,0.0,50.0,49.09090909090909,0.0,30.0,0.0,59.23076923076923
2016,CA,West,Q2,0.41555555555555557,1.19,0.7000000000000001,30.0,0.0,86.66666666666667,36.666666666666664,0.0,30.0,0.0,60.0
2016,CA,West,Q3,2.6585714285714284,10.82,0.2785714285714286,90.0,0.0,40.0,48.0,0.0,0.0,0.0,65.0
2016,CA,West,Q4,1.5646666666666667,7.73,1.09,47.5,0.0,0.0,73.57142857142857,75.0,60.0,65.0,68.33333333333333
2016,CO,Southwest,Q2,1.37,3.22,0.675,30.0,0.0,0.0,65.0,75.0,30.0,0.0,90.0
2016,CO,Southwest,Q3,2.8707142857142856,10.72,0.017857142857142856,50.0,0.0,30.0,55.45454545454545,58.333333333333336,90.0,0.0,63.333333333333336
2016,CO,Southwest,Q4,14.66,14.66,0.0,90.0,0.0,0.0,80.0,90.0,0.0,0.0,0.0
2016,CT,Northeast,Q2,0.615,1.17,0.0625,0.0,0.0,30.0,55.0,60.0,0.0,0.0,40.0
2016,CT,Northeast,Q3,3.4166666666666665,12.32,0.20416666666666664,30.0,0.0,0.0,61.0,36.666666666666664,0.0,60.0,90.0
2016,CT,Northeast,Q4,6.40125,14.96,0.1125,0.0,0.0,50.0,86.25,50.0,90.0,90.0,30.0
2016,DE,Northeast,Q2,2.1033333333333335,3.69,0.0,30.0,0.0,0.0,56.666666666666664,30.0,0.0,0.0,60.0
2016,DE,Northeast,Q3,1.95,11.09,0.140625,35.45454545454545,0.0,60.0,67.27272727272727,40.0,60.0,0.0,65.0
2016,DE,Northeast,Q4,0.99,0.99,0.05,60.0,0.0,0.0,50.0,30.0,0.0,0.0,0.0
2016,FL,Southeast,Q1,5.825,10.58,0.575,64.0,0.0,30.0,73.75,0.0,50.0,80.0,70.0
2016,FL,Southeast,Q4,5.163,19.53,0.6,57.5,0.0,75.0,75.0,64.0,90.0,70.0,46.666666666666664
2016,GA,Southeast,Q2,3.103333333333333,3.9,0.9499999999999998,0.0,0.0,0.0,66.66666666666667,0.0,30.0,0.0,30.0
2016,GA,Southeast,Q3,2.998333333333333,12.24,0.041666666666666664,44.0,0.0,0.0,75.29411764705883,50.833333333333336,45.0,0.0,60.0
2016,GA,Southeast,Q4,2.5416666666666665,7.67,0.15,30.0,0.0,32.5,72.0,50.0,0.0,0.0,60.0
2016,HI,Hawaii,Q1,0.8657142857142858,6.86,0.6607142857142857,35.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0
2016,HI,Hawaii,Q2,1.4008333333333332,10.09,1.2125000000000001,40.0,0.0,50.0,48.333333333333336,0.0,30.0,0.0,0.0
2016,HI,Hawaii,Q3,2.0233333333333334,6.77,0.9583333333333334,38.0,0.0,70.0,83.33333333333333,90.0,70.0,80.0,30.0
2016,HI,Hawaii,Q4,0.0,0.0,1.575,36.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,IA,Upper Midwest,Q2,2.417333333333333,13.66,0.24000000000000002,30.0,0.0,65.0,41.333333333333336,0.0,45.0,40.0,46.25
2016,IA,Upper Midwest,Q3,15.18,15.18,0.0,30.0,0.0,0.0,90.0,50.0,0.0,0.0,0.0
2016,IA,Upper Midwest,Q4,2.1625,4.47,0.8125,55.0,0.0,0.0,76.66666666666667,70.0,70.0,65.0,75.0
2016,ID,Northwest,Q2,0.85,3.25,0.22142857142857145,0.0,0.0,30.0,44.0,42.0,0.0,0.0,72.5
2016,ID,Northwest,Q3,2.9,15.15,0.0058823529411764705,30.0,0.0,30.0,66.36363636363636,57.142857142857146,76.66666666666667,0.0,60.0
2016,IL,Ohio Valley,Q2,1.14,1.14,0.0,30.0,0.0,0.0,40.0,30.0,80.0,80.0,70.0
2016,IL,Ohio Valley,Q3,3.113809523809524,7.48,0.08571428571428572,52.5,0.0,63.333333333333336,72.63157894736842,65.0,73.33333333333333,90.0,62.0
2016,IN,Ohio Valley,Q3,2.6375,6.44,0.06875,40.0,0.0,30.0,73.75,50.0,0.0,0.0,0.0
2016,IN,Ohio Valley,Q4,16.0225,26.85,0.0625,65.0,0.0,40.0,90.0,56.666666666666664,0.0,0.0,90.0
2016,KY,Ohio Valley,Q1,2.4899999999999998,5.06,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,40.0
2016,KY,Ohio Valley,Q2,2.888888888888889,8.77,0.03333333333333333,30.0,0.0,30.0,45.0,0.0,30.0,0.0,54.0
2016,KY,Ohio Valley,Q3,2.8762499999999998,6.8,0.04375,32.5,0.0,40.0,78.57142857142857,30.0,50.0,0.0,80.0
2016,KY,Ohio Valley,Q4,6.15,10.85,0.0,30.0,0.0,0.0,72.5,40.0,0.0,0.0,70.0
2016,LA,South,Q2,2.06,2.06,0.35,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
2016,LA,South,Q3,4.866666666666667,7.92,0.15,90.0,0.0,0.0,60.0,50.0,0.0,0.0,0.0
2016,LA,South,Q4,4.15,13.38,0.22749999999999998,50.0,0.0,50.0,63.5,47.142857142857146,30.0,0.0,56.0
2016,MA,Northeast,Q3,2.717916666666667,6.9,0.043750000000000004,40.0,0.0,70.0,73.91304347826087,63.333333333333336,63.333333333333336,0.0,71.66666666666667
2016,MD,Northeast,Q1,0.95,0.95,0.25,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
2016,MD,Northeast,Q2,1.5625,3.8,0.05,30.0,0.0,60.0,32.857142857142854,0.0,30.0,0.0,50.0
2016,MD,Northeast,Q3,4.265000000000001,6.19,0.275,0.0,0.0,30.0,35.0,90.0,90.0,80.0,60.0
2016,MD,Northeast,Q4,23.43,23.43,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0
2016,MI,Upper Midwest,Q3,1.9400000000000002,2.97,0.0,0.0,0.0,70.0,70.0,90.0,0.0,0.0,90.0
2016,MI,Upper Midwest,Q4,3.7954999999999997,15.71,0.2375,57.69230769230769,0.0,53.333333333333336,74.0,75.0,61.111111111111114,80.0,71.53846153846153
2016,MN,Upper Midwest,Q2,1.24125,7.24,0.290625,40.0,0.0,55.0,31.333333333333332,0.0,44.285714285714285,50.0,56.666666666666664
2016,MN,Upper Midwest,Q3,9.81,15.69,0.0,90.0,0.0,40.0,85.0,90.0,90.0,0.0,0.0
2016,MN,Upper Midwest,Q4,7.234999999999999,17.8,0.15,52.5,0.0,0.0,62.5,85.0,90.0,80.0,30.0
2016,MS,Southeast,Q1,2.0725,6.51,0.0125,30.0,0.0,30.0,55.0,0.0,0.0,0.0,80.0
2016,MS,Southeast,Q2,3.4,7.66,0.5,0.0,0.0,0.0,48.57142857142857,0.0,0.0,40.0,30.0
2016,MT,Northern Rockies & Plains,Q2,0.762,2.25,0.315,0.0,0.0,60.0,32.5,90.0,31.666666666666668,60.0,55.714285714285715
2016,MT,Northern Rockies & Plains,Q3,3.0517391304347825,18.93,0.05652173913043478,30.0,0.0,56.666666666666664,52.63157894736842,49.04761904761905,70.0,0.0,74.16666666666667
2016,NC,Southeast,Q2,3.47,6.54,1.45,0.0,0.0,0.0,36.666666666666664,0.0,0.0,0.0,90.0
2016,NC,Southeast,Q4,0.75,0.75,0.4,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0
2016,ND,Northern Rockies & Plains,Q2,0.45,1.13,0.9,0.0,0.0,50.0,30.0,0.0,30.0,0.0,53.333333333333336
2016,ND,Northern Rockies & Plains,Q3,3.089090909090909,13.46,0.6520833333333333,36.0,0.0,50.0,70.83333333333333,71.66666666666667,67.5,76.66666666666667,46.666666666666664
