sample_year,sample_month_number,state_code,sample_quarter,mean_varroa,varroa_total_samples,mean_spores,spores_total_samples,abpv_prevalence,abpv_total_samples,cbpv_prevalence,cbpv_total_samples,dwv_prevalence,dwv_total_samples,iapv_prevalence,iapv_total_samples,kbv_prevalence,kbv_total_samples,lsv2_prevalence,lsv2_total_samples,unique_counties_sampled
2015,1,CA,Q1,0.8406250000000001,16,2.496875,16,0.375,16,0.1875,16,0.875,16,0.25,16,0.1875,16,0.8125,16,5
2015,1,FL,Q1,0.372,5,0.12,5,0.2,5,0.2,5,0.8,5,0.0,5,0.0,5,0.6,5,4
2015,1,TX,Q1,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,0.5,2,1.0,2,1
2015,2,CA,Q1,0.0,1,1.15,1,0.0,1,0.0,1,1.0,1,0.0,1,0.0,1,1.0,1,1
2015,2,GU,Q1,0.19,2,1.075,2,,0,,0,,0,,0,,0,,0,0
2015,2,HI,Q1,0.5599999999999999,3,0.08333333333333333,3,0.0,3,0.0,3,0.3333333333333333,3,0.0,3,0.0,3,0.0,3,2
2015,2,TX,Q1,2.74,2,0.55,2,0.0,2,0.0,2,1.0,2,0.0,2,0.0,2,0.5,2,2
2015,3,GU,Q1,0.0,1,3.85,1,,0,,0,,0,,0,,0,,0,0
2015,3,HI,Q1,1.24,3,1.2666666666666666,3,0.3333333333333333,3,0.3333333333333333,3,0.6666666666666666,3,0.3333333333333333,3,0.0,3,0.0,3,1
2015,3,TX,Q1,1.35,1,0.0,1,0.0,1,0.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1
2015,3,UT,Q1,0.5,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1.0,1,1
2015,4,AL,Q2,1.8833333333333335,3,0.26666666666666666,3,0.0,3,0.3333333333333333,3,0.6666666666666666,3,0.0,3,0.0,3,1.0,3,3
2015,4,CA,Q2,0.8990909090909092,11,0.2,11,0.09090909090909091,11,0.2727272727272727,11,0.7272727272727273,11,0.18181818181818182,11,0.09090909090909091,11,0.7272727272727273,11,5
2015,4,GU,Q2,0.25833333333333336,6,1.491666666666667,6,,0,,0,,0,,0,,0,,0,1
2015,4,HI,Q2,5.85,1,0.0,1,0.0,1,0.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1
2015,4,TX,Q2,1.53,2,1.7249999999999999,2,0.0,2,0.5,2,1.0,2,0.5,2,0.0,2,1.0,2,2
2015,4,UT,Q2,0.07,2,0.25,2,0.0,2,0.0,2,0.0,2,0.5,2,0.0,2,1.0,2,2
2015,5,AL,Q2,3.63,1,0.2,1,0.0,1,0.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1
2015,5,AR,Q2,2.388333333333333,6,0.0,6,0.0,5,0.0,5,0.6,5,0.0,5,0.0,5,0.2,5,6
2015,5,CT,Q2,0.0,1,5.9,1,0.0,1,0.0,1,1.0,1,0.0,1,0.0,1,1.0,1,1
2015,5,MT,Q2,0.7285714285714285,7,0.20714285714285713,7,0.0,7,0.14285714285714285,7,0.8571428571428571,7,0.2857142857142857,7,0.0,7,0.7142857142857143,7,4
2015,5,PR,Q2,7.2281249999999995,16,0.253125,16,0.625,16,0.0,16,1.0,16,0.0,16,0.0,16,0.5,16,11
2015,5,TN,Q2,2.6,1,0.0,1,0.0,1,0.0,1,1.0,1,0.0,1,0.0,1,0.0,1,0
2015,5,TX,Q2,0.9233333333333333,3,0.09999999999999999,3,0.6666666666666666,3,0.0,3,0.6666666666666666,3,0.6666666666666666,3,0.3333333333333333,3,0.3333333333333333,3,2
2015,5,UT,Q2,0.08,2,0.22499999999999998,2,0.0,2,0.5,2,1.0,2,0.0,2,0.0,2,1.0,2,2
2015,5,VA,Q2,3.33,1,0.0,1,0.0,1,0.0,1,1.0,1,0.0,1,0.0,1,1.0,1,1
2015,6,AL,Q2,2.382727272727273,11,0.10454545454545455,11,0.0,11,0.18181818181818182,11,0.8181818181818182,11,0.09090909090909091,11,0.09090909090909091,11,0.36363636363636365,11,9
2015,6,AR,Q2,2.4080000000000004,5,0.030000000000000006,5,0.0,3,0.3333333333333333,3,0.6666666666666666,3,0.0,3,0.0,3,0.6666666666666666,3,5
2015,6,CT,Q2,0.78,1,0.45,1,0.0,1,0.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1
2015,6,GU,Q2,0.0,1,4.15,1,,0,,0,,0,,0,,0,,0,1
2015,6,HI,Q2,0.0,2,0.0,2,0.5,2,0.0,2,0.0,2,0.0,2,0.0,2,0.0,2,1
2015,6,IA,Q2,0.35,1,0.35,1,0.0,1,0.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1
2015,6,ID,Q2,2.59,1,0.0,1,0.0,1,0.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1
2015,6,IN,Q2,0.23,1,0.2,1,0.0,1,0.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1
2015,6,MI,Q2,1.02,3,0.16666666666666666,3,0.0,3,0.0,3,1.0,3,0.6666666666666666,3,0.0,3,1.0,3,2
2015,6,MN,Q2,0.868,10,0.16,10,0.0,10,0.0,10,0.6,10,0.8,10,0.2,10,0.6,10,9
2015,6,MT,Q2,0.8618181818181818,11,0.2791666666666666,12,0.0,12,0.0,12,0.75,12,0.16666666666666666,12,0.0,12,0.5833333333333334,12,9
2015,6,NJ,Q2,1.4166666666666667,3,0.6166666666666667,3,0.0,3,0.0,3,0.6666666666666666,3,0.0,3,0.0,3,0.3333333333333333,3,1
2015,6,NY,Q2,1.6527777777777777,18,0.375,18,0.0,17,0.17647058823529413,17,0.9411764705882353,17,0.11764705882352941,17,0.058823529411764705,17,0.7058823529411765,17,14
2015,6,PA,Q2,1.1666666666666667,6,0.15,6,0.0,6,0.0,6,0.5,6,0.16666666666666666,6,0.0,6,0.6666666666666666,6,5
2015,6,PR,Q2,5.56625,8,0.3,8,0.25,8,0.0,8,1.0,8,0.0,8,0.0,8,0.5,8,8
2015,6,SC,Q2,2.17,4,0.0,4,0.0,4,0.0,4,1.0,4,0.25,4,0.25,4,0.25,4,1
2015,6,SD,Q2,0.6633333333333333,9,1.7555555555555555,9,0.3333333333333333,9,0.0,9,0.5555555555555556,9,0.5555555555555556,9,0.0,9,0.7777777777777778,9,6
2015,6,TN,Q2,3.362142857142857,14,0.06785714285714285,14,0.0,14,0.21428571428571427,14,0.7857142857142857,14,0.21428571428571427,14,0.14285714285714285,14,0.35714285714285715,14,0
2015,6,TX,Q2,3.05,1,0.15,1,0.0,1,0.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1
2015,6,UT,Q2,1.1641666666666666,12,0.03333333333333333,12,0.08333333333333333,12,0.25,12,0.6666666666666666,12,0.5,12,0.25,12,0.4166666666666667,12,7
2015,6,VA,Q2,0.185,2,0.15,2,0.0,2,0.0,2,1.0,2,0.0,2,0.0,2,0.0,2,1
2015,6,VT,Q2,5.4350000000000005,2,0.775,2,0.0,2,0.5,2,1.0,2,0.0,2,0.0,2,1.0,2,2
2015,6,WI,Q2,2.08375,8,0.1375,8,0.375,8,0.125,8,0.75,8,0.375,8,0.0,8,0.375,8,6
2015,7,AR,Q3,3.4716666666666662,6,0.008333333333333333,6,0.5,6,0.0,6,1.0,6,0.0,6,0.0,6,0.3333333333333333,6,5
2015,7,CT,Q3,2.6347058823529412,17,0.15,17,0.0,17,0.11764705882352941,17,0.7647058823529411,17,0.0,17,0.0,17,0.17647058823529413,17,8
2015,7,HI,Q3,0.0,3,0.016666666666666666,3,0.6666666666666666,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,2
2015,7,IA,Q3,2.3200000000000003,4,0.0,4,0.0,4,0.25,4,0.5,4,0.5,4,0.25,4,0.0,4,2
2015,7,ID,Q3,1.72,8,0.0,8,0.375,8,0.0,8,0.875,8,0.0,8,0.0,8,0.0,8,6
2015,7,IL,Q3,2.1875,8,0.00625,8,0.125,8,0.125,8,1.0,8,0.125,8,0.0,8,0.0,8,8
2015,7,IN,Q3,4.51,2,0.0,2,1.0,1,0.0,1,1.0,1,0.0,1,0.0,1,0.0,1,2
2015,7,KY,Q3,1.03,1,0.15,1,1.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2015,7,MI,Q3,0.21,1,0.0,1,0.0,1,0.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1
2015,7,NJ,Q3,1.87,3,0.35000000000000003,3,0.0,3,0.0,3,1.0,3,0.3333333333333333,3,0.0,3,0.3333333333333333,3,3
2015,7,NM,Q3,6.52,1,0.25,1,0.0,1,0.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1
2015,7,NY,Q3,2.0916666666666663,6,0.075,6,0.16666666666666666,6,0.0,6,0.8333333333333334,6,0.16666666666666666,6,0.0,6,0.6666666666666666,6,6
2015,7,OH,Q3,3.1142857142857143,7,0.07857142857142858,7,0.0,7,0.2857142857142857,7,1.0,7,0.2857142857142857,7,0.0,7,0.14285714285714285,7,6
2015,7,PA,Q3,1.846,5,0.0,5,0.0,5,0.0,5,0.6,5,0.4,5,0.0,5,0.6,5,4
2015,7,SD,Q3,11.09,1,2.9,1,1.0,1,0.0,1,1.0,1,0.0,1,0.0,1,1.0,1,1
2015,7,TX,Q3,3.68,1,0.0,1,0.0,1,1.0,1,1.0,1,0.0,1,0.0,1,1.0,1,1
2015,7,UT,Q3,5.4,2,0.0,2,0.0,2,0.0,2,1.0,2,1.0,2,1.0,2,0.5,2,2
2015,7,VA,Q3,5.493333333333333,3,0.2833333333333333,3,0.0,3,0.0,3,1.0,3,0.3333333333333333,3,0.0,3,0.6666666666666666,3,3
2015,7,VT,Q3,2.2227272727272727,11,0.15,11,0.0,11,0.09090909090909091,11,0.7272727272727273,11,0.09090909090909091,11,0.0,11,0.2727272727272727,11,3
2015,7,WI,Q3,2.9974999999999996,4,0.5875,4,0.25,4,0.25,4,1.0,4,0.0,4,0.0,4,0.75,4,4
2015,7,WV,Q3,4.317,10,0.015000000000000003,10,0.1,10,0.1,10,1.0,10,0.1,10,0.0,10,0.3,10,9
2015,8,AR,Q3,2.723333333333333,3,0.0,3,0.3333333333333333,3,0.3333333333333333,3,1.0,3,0.0,3,0.0,3,0.3333333333333333,3,3
2015,8,CT,Q3,1.2879999999999998,5,0.07,5,0.0,4,0.0,4,1.0,4,0.0,4,0.0,4,0.5,4,4
2015,8,FL,Q3,1.26,1,0.0,1,,0,,0,,0,,0,,0,,0,1
2015,8,GA,Q3,1.0970588235294116,17,0.10588235294117646,17,0.125,16,0.125,16,1.0,16,0.0625,16,0.0,16,0.0625,16,11
2015,8,HI,Q3,3.9933333333333336,3,0.4666666666666666,3,0.5,2,0.0,2,1.0,2,0.0,2,0.0,2,0.0,2,3
2015,8,ID,Q3,5.507000000000001,10,0.019999999999999997,10,0.1,10,0.2,10,1.0,10,0.2,10,0.0,10,0.2,10,8
2015,8,IL,Q3,4.9366666666666665,15,0.06999999999999999,15,0.42857142857142855,14,0.14285714285714285,14,1.0,14,0.42857142857142855,14,0.07142857142857142,14,0.21428571428571427,14,14
2015,8,IN,Q3,5.696666666666666,3,0.09999999999999999,3,0.3333333333333333,3,0.0,3,1.0,3,0.3333333333333333,3,0.0,3,0.0,3,3
2015,8,KY,Q3,1.23,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1.0,1,1
2015,8,MT,Q3,5.0200000000000005,10,0.025,10,0.1,10,0.1,10,0.9,10,0.2,10,0.1,10,0.5,10,7
2015,8,NC,Q3,3.9814285714285718,7,0.04285714285714286,7,0.16666666666666666,6,0.16666666666666666,6,1.0,6,0.16666666666666666,6,0.16666666666666666,6,0.5,6,7
2015,8,NJ,Q3,8.88,1,0.25,1,0.0,1,1.0,1,1.0,1,0.0,1,0.0,1,0.0,1,1
2015,8,NY,Q3,0.9,1,0.0,1,0.0,1,0.0,1,1.0,1,1.0,1,0.0,1,1.0,1,1
2015,8,OH,Q3,3.6358333333333337,12,0.029166666666666664,12,0.5833333333333334,12,0.0,12,1.0,12,0.25,12,0.08333333333333333,12,0.08333333333333333,12,11
