sample_year,sample_quarter,state_code,mean_varroa_q,mean_spores_q,abpv_prevalence_q,cbpv_prevalence_q,dwv_prevalence_q,iapv_prevalence_q,kbv_prevalence_q,lsv2_prevalence_q,varroa_total_samples_q,spores_total_samples_q,abpv_total_samples_q,cbpv_total_samples_q,dwv_total_samples_q,iapv_total_samples_q,kbv_total_samples_q,lsv2_total_samples_q,worst_month_mean_varroa,worst_month_mean_spores,worst_month_abpv_prevalence,worst_month_cbpv_prevalence,worst_month_dwv_prevalence,worst_month_iapv_prevalence,worst_month_kbv_prevalence,worst_month_lsv2_prevalence,last_month_mean_varroa,last_month_mean_spores,last_month_abpv_prevalence,last_month_cbpv_prevalence,last_month_dwv_prevalence,last_month_iapv_prevalence,last_month_kbv_prevalence,last_month_lsv2_prevalence,unique_counties_sampled_q,last_month_in_quarter
2015,Q1,CA,0.7911764705882354,2.4176470588235297,0.35294117647058826,0.17647058823529413,0.8823529411764706,0.23529411764705882,0.17647058823529413,0.8235294117647058,17,17,17,17,17,17,17,17,0.8406250000000001,2.496875,0.375,0.1875,1.0,0.25,0.1875,1.0,0.0,1.15,0.0,0.0,1.0,0.0,0.0,1.0,6,2
2015,Q1,FL,0.372,0.12,0.2,0.2,0.8,0.0,0.0,0.6,5,5,5,5,5,5,5,5,0.372,0.12,0.2,0.2,0.8,0.0,0.0,0.6,0.372,0.12,0.2,0.2,0.8,0.0,0.0,0.6,4,1
2015,Q1,GU,0.12666666666666668,2.0,nan,nan,nan,nan,nan,nan,3,3,0,0,0,0,0,0,0.19,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0,3
2015,Q1,HI,0.8999999999999999,0.6749999999999999,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,6,6,6,6,6,6,6,6,1.24,1.2666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,1.24,1.2666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,3,3
2015,Q1,TX,1.366,0.22000000000000003,0.0,0.0,0.6,0.0,0.2,0.6,5,5,5,5,5,5,5,5,2.74,0.55,0.0,0.0,1.0,0.0,0.5,1.0,1.35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,3
2015,Q1,UT,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,1,1,1,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3
2015,Q2,AL,2.366,0.14333333333333337,0.0,0.2,0.8,0.06666666666666667,0.06666666666666667,0.4666666666666667,15,15,15,15,15,15,15,15,3.63,0.26666666666666666,0.0,0.3333333333333333,1.0,0.09090909090909091,0.09090909090909091,1.0,2.382727272727273,0.10454545454545455,0.0,0.18181818181818182,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.36363636363636365,13,6
2015,Q2,AR,2.3972727272727274,0.01363636363636364,0.0,0.125,0.625,0.0,0.0,0.375,11,11,8,8,8,8,8,8,2.4080000000000004,0.030000000000000006,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,2.4080000000000004,0.030000000000000006,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,11,6
2015,Q2,CA,0.8990909090909092,0.2,0.09090909090909091,0.2727272727272727,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.7272727272727273,11,11,11,11,11,11,11,11,0.8990909090909092,0.2,0.09090909090909091,0.2727272727272727,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.8990909090909092,0.2,0.09090909090909091,0.2727272727272727,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.7272727272727273,5,4
2015,Q2,CT,0.39,3.1750000000000003,0.0,0.0,1.0,0.0,0.0,0.5,2,2,2,2,2,2,2,2,0.78,5.9,0.0,0.0,1.0,0.0,0.0,1.0,0.78,0.45,0.0,0.0,1.0,0.0,0.0,0.0,2,6
2015,Q2,GU,0.22142857142857147,1.8714285714285717,nan,nan,nan,nan,nan,nan,7,7,0,0,0,0,0,0,0.25833333333333336,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,2,6
2015,Q2,HI,1.95,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,3,3,3,3,3,3,3,3,5.85,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2,6
2015,Q2,IA,0.35,0.35,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,0.35,0.35,0.0,0.0,1.0,1.0,1.0,1.0,0.35,0.35,0.0,0.0,1.0,1.0,1.0,1.0,1,6
2015,Q2,ID,2.59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,2.59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,6
