State_FIPS_code	State	Compound	Year	Units	Corn	Soybeans	Wheat	Cotton	Vegetables_and_fruit	Rice	Orchards_and_grapes	Alfalfa	Pasture_and_hay	Other_crops
01	Alabama	2,4-D	1992	kg	3775.1		5129.4		30.3		133.7		60348.5	6837.5
01	Alabama	2,4-D	1993	kg	3950.6		14390						53527.4	20476.1
01	Alabama	2,4-D	1994	kg	3324.3	66.7	103.4		12.3				50899	15173.9
01	Alabama	2,4-D	1995	kg	855.3	1832.5	4560.5		4		312.5		61755	10223.2
01	Alabama	2,4-D	1996	kg	3018.9	21210.5	6107.7	3548.9	32.2		216.8		107006.3	6212.6
01	Alabama	2,4-D	1997	kg	1456.9		6324.1				36.5		94516.8	7832.6
01	Alabama	2,4-D	1998	kg	4391.6		330.2	2828.2	5.9		1114.5		127410	1425.6
01	Alabama	2,4-D	1999	kg	3615.9	204.5	1485.4	7409	126.5		619.2		81227.9	188.1
01	Alabama	2,4-D	2000	kg	135.1		20057.9	3850.6	114.8		283.6		88845.4	80.8
01	Alabama	2,4-D	2001	kg	4831.6		1360.1	9118.8	131.2		44.7		134594.5	4542.8
01	Alabama	2,4-D	2002	kg	1862.2	1338.7	14114.1	2613.1	39.9		145.5		97870.7	343
01	Alabama	2,4-D	2003	kg	4337.8		18471.2	8645.4			19.3		116433	1672.3
01	Alabama	2,4-D	2004	kg			1147.6	4069.1	30.1		47.7		212853.1	285.8
01	Alabama	2,4-D	2005	kg		70.2	3790.2	18109	8.4		765.6		164377.3	1512.3
01	Alabama	2,4-D	2006	kg		1556.1	9352.7	16983.1	4.8		181.7		157309	6975.6
01	Alabama	2,4-D	2007	kg	328.5	646.3	5540.4	11215.2			2294.1		207575.7	4093.1
01	Alabama	2,4-D	2008	kg	16524.6	1787.6	1968.7	5871.5	4.1		1710.8		176986.6	2816.7
01	Alabama	2,4-D	2009	kg	9326.5	298.4	3648.1	11077.6	29.4		907.8		175051.6	8594.4
01	Alabama	2,4-D	2010	kg	3460.3	1083	4461.3	7023.7	29.5		985.3		187092.5	6748
01	Alabama	2,4-D	2011	kg	3475.1	365.2	7605.4	4006.8	83.8		1279.4		186729.3	13373.5
01	Alabama	2,4-D	2012	kg	11016.3	2949.1	6054.2	10372.1	36.6		268.3		177797.8	378.6
01	Alabama	2,4-D	2013	kg	18794.4	7597.3	2651.6	9564.4			118.6		222307.5	4271.3
01	Alabama	2,4-D	2014	kg	15804.5	20652.9	29130.4	10167			331.7		233668.3	309.7
01	Alabama	2,4-D	2015	kg	9382.1	8883.1	9032.8	12534.1	11.1		303.4		231043.2	7660.4
01	Alabama	2,4-D	2016	kg	33318.8	24408.1	5472.3	2356.2			214.3		267583.6	1343.9
01	Alabama	2,4-D	2017	kg	24242.4	8674.9	3425.3	10297.6			136.1		263965.3	8626.4
01	Alabama	2,4-D	2018	kg	7806.2	6955.9	2718	126698.6					384089.7	648.3
01	Alabama	2,4-D	2019	kg	13440.6	4865	5388.9	56542.2	7.9		560.9		318939.2	830.2
01	Alabama	2,4-DB	1992	kg		13.5								13839
01	Alabama	2,4-DB	1993	kg		381.5	439.8						741.7	10183
01	Alabama	2,4-DB	1994	kg		175.5						65.3	1547.4	11513.2
01	Alabama	2,4-DB	1995	kg	174.2	209.6						7.3		17252.9
01	Alabama	2,4-DB	1996	kg		595.3							528.6	16600.7
