State_FIPS_code	State	Compound	Year	Units	Corn	Soybeans	Wheat	Cotton	Vegetables_and_fruit	Rice	Orchards_and_grapes	Alfalfa	Pasture_and_hay	Other_crops
01	Alabama	2,4-D	1992	kg	4431.2	2798.6	12526.4	653.6	39.2		436.6		72508.4	16934.5
01	Alabama	2,4-D	1993	kg	5575.1	2730.6	21602.9				336.1		59255.8	25909.1
01	Alabama	2,4-D	1994	kg	4256	1770.7	3124.2		22.2		19.5		54588.6	20248.9
01	Alabama	2,4-D	1995	kg	1623	5255.7	8303.9		147.4		1452.7		63459.9	13278.1
01	Alabama	2,4-D	1996	kg	3240.8	30602.3	8103.8	38621.8	100.8		777.6		121023.6	11677.1
01	Alabama	2,4-D	1997	kg	10479.6	145.4	7063.2	29865.7	210.2		870.2		124272.8	12670.4
01	Alabama	2,4-D	1998	kg	7214.4	2274.2	2111.3	21755.8	40.8		2126.4		127410	1736.1
01	Alabama	2,4-D	1999	kg	5053.2	3868.6	1715.6	12490.3	131.1		2179.1		81438.2	223.8
01	Alabama	2,4-D	2000	kg	3381.6	1824.5	29820.3	6241.5	120.3		610.6		88862.7	135.7
01	Alabama	2,4-D	2001	kg	9024.5	2128.5	4815.6	17251.3	171		376.9		134594.5	5003.2
01	Alabama	2,4-D	2002	kg	3954.6	7036.2	19798.1	5870.7	39.9		500.7		97870.7	1372.5
01	Alabama	2,4-D	2003	kg	28985.1	4688.3	23899.3	16447.7			981.4		116433	2087
01	Alabama	2,4-D	2004	kg	12248	3397.2	1339.6	6853.8	32.7		521.9		222675	12324.4
01	Alabama	2,4-D	2005	kg	8769.9	3419.1	3817.6	25518.2	8.4		3989.8		164377.3	1554.6
01	Alabama	2,4-D	2006	kg	7946.9	7751.5	8764.2	27113.6	4.8		541.1		157309	7047.9
01	Alabama	2,4-D	2007	kg	2293.1	4249.7	5558.9	11750			4029.3		207575.7	4218.5
01	Alabama	2,4-D	2008	kg	27661.2	15477	1960	6168.2	4.1		2304.5		176986.6	3869.7
01	Alabama	2,4-D	2009	kg	29512.2	11698.4	3561.7	14648.8	29.4		1141.2		204854.4	9201.1
01	Alabama	2,4-D	2010	kg	7883.8	6331.3	4461.3	10742.2	29.5		1547.7		187092.5	6935.9
01	Alabama	2,4-D	2011	kg	23400.6	4346.2	7503.1	8394.2	83.8		1815.5		186729.3	13776.3
01	Alabama	2,4-D	2012	kg	15194.8	5346.3	6054.2	35233.9	36.6		1154.9		177797.8	524.6
01	Alabama	2,4-D	2013	kg	27217	13918.2	2859.8	13565.3			2722.1		222307.5	4271.3
01	Alabama	2,4-D	2014	kg	20921.2	26679.8	29130.4	10862			709.3		233668.3	6438.2
