State_FIPS_code,State,Year,Low_Estimate_Total_kg,High_Estimate_Total_kg
1,Alabama,1992,3846682.2,6350791.3
1,Alabama,1993,3931573.9000000004,5229244.8
1,Alabama,1994,3982902.5,7120286.0
1,Alabama,1995,3754571.0,6312607.8
1,Alabama,1996,4717088.7,8423037.1
1,Alabama,1997,3351238.1,5769643.5
1,Alabama,1998,3191896.1,4762934.8
1,Alabama,1999,2375143.9,4574333.3
1,Alabama,2000,2204398.5,4188588.3000000003
1,Alabama,2001,2660673.4,4963570.5
1,Alabama,2002,2259970.3,4234470.2
1,Alabama,2003,2545965.2,3982127.9
1,Alabama,2004,2600792.8000000003,4719794.0
1,Alabama,2005,2719017.5,4149086.0
1,Alabama,2006,2679906.3,5678894.6
1,Alabama,2007,2276551.8,3317697.3
1,Alabama,2008,2486188.9,4303764.4
1,Alabama,2009,2391913.8,3482313.2
1,Alabama,2010,3030335.5,4014756.6
1,Alabama,2011,2667445.1,4387692.6
1,Alabama,2012,2888858.1,4147972.8000000003
1,Alabama,2013,3081718.9,4257030.5
1,Alabama,2014,3273246.1,5110349.9
1,Alabama,2015,3205979.1,4815193.5
1,Alabama,2016,3338587.3,4863000.399999999
1,Alabama,2017,3263917.4,4553395.4
1,Alabama,2018,3591280.8000000003,5404435.7
1,Alabama,2019,2691157.9999999995,3356175.7
4,Arizona,1992,2624464.9,13331519.700000001
4,Arizona,1993,1648835.6,3639261.5
4,Arizona,1994,2894815.2,3710253.8
4,Arizona,1995,4855725.899999999,8882664.7
4,Arizona,1996,3817899.6999999997,7196359.0
4,Arizona,1997,2424118.7,5680002.2
4,Arizona,1998,2202319.6999999997,4378385.1
4,Arizona,1999,2146106.5,3623173.8
4,Arizona,2000,1871606.4,3670118.3
4,Arizona,2001,1867338.9,3655287.6
4,Arizona,2002,2433057.1,4225728.6
4,Arizona,2003,1579851.8,3424887.2
4,Arizona,2004,2233459.7,3063207.2
4,Arizona,2005,2582364.0,3482725.2
4,Arizona,2006,2087441.4,2716744.9
4,Arizona,2007,2935101.7,3620411.2
4,Arizona,2008,1400189.2,2747742.9000000004
4,Arizona,2009,2771326.6,3411939.4
4,Arizona,2010,2193300.6,2989596.8
4,Arizona,2011,2598127.8,3477917.9
4,Arizona,2012,2480075.5,3146797.4
4,Arizona,2013,1642197.6,2543285.3
4,Arizona,2014,1321398.0999999999,1922044.2
4,Arizona,2015,1680106.9,2347428.3
4,Arizona,2016,1510097.2,2027849.7
4,Arizona,2017,1783509.6,2284609.0
4,Arizona,2018,2218739.9,9318547.9
4,Arizona,2019,584693.3,666311.0
5,Arkansas,1992,8631648.7,10923392.2
5,Arkansas,1993,10176624.700000001,11741472.7
5,Arkansas,1994,10699882.4,12748533.0
5,Arkansas,1995,10944999.9,13300794.2
5,Arkansas,1996,10939880.0,12391084.5
5,Arkansas,1997,11306084.6,12390023.3
5,Arkansas,1998,9348611.4,10299658.7
5,Arkansas,1999,8400398.1,9393138.4
5,Arkansas,2000,8381996.5,9471772.799999999
5,Arkansas,2001,8948111.5,10149123.5
5,Arkansas,2002,7720402.2,8452680.5
5,Arkansas,2003,7497005.5,8498790.9
5,Arkansas,2004,8073365.899999999,9196310.700000001
5,Arkansas,2005,7359473.899999999,8891045.0
5,Arkansas,2006,7987639.7,10259777.5
5,Arkansas,2007,7901592.4,9884914.5
5,Arkansas,2008,7208759.7,8774737.1
5,Arkansas,2009,6779548.5,7910995.299999999
5,Arkansas,2010,8517182.4,10414981.0
5,Arkansas,2011,9977409.2,11459939.4
5,Arkansas,2012,12293727.8,14458782.7
5,Arkansas,2013,12025892.9,13129204.299999999
5,Arkansas,2014,10938046.6,12954353.9
5,Arkansas,2015,10838667.9,12475749.2
5,Arkansas,2016,14019834.7,15215219.5
5,Arkansas,2017,14759942.1,16578628.3
5,Arkansas,2018,14364620.299999999,16071238.299999999
5,Arkansas,2019,9543537.7,10213029.999999998
6,California,1992,71516230.3,71516230.3
6,California,1993,78735809.60000001,78735809.60000001
6,California,1994,77912820.0,77912820.0
6,California,1995,81803954.3,81803954.3
6,California,1996,78236829.4,78236829.4
6,California,1997,83347958.89999999,83347958.89999999
6,California,1998,87775981.0,87775981.0
6,California,1999,83063518.2,83063518.2
6,California,2000,73511226.6,73511226.6
6,California,2001,59553620.5,59553620.5
6,California,2002,67077143.0,67077143.0
6,California,2003,65930173.8,65930173.8
6,California,2004,65989099.4,65989099.4
6,California,2005,69937041.2,69937041.2
6,California,2006,63729466.1,63729466.1
6,California,2007,59564850.199999996,59564850.199999996
6,California,2008,54413890.7,54413890.7
6,California,2009,52622680.5,52622680.5
6,California,2010,59147355.2,59147355.2
6,California,2011,66211060.6,66211060.6
6,California,2012,62749974.099999994,62749974.099999994
6,California,2013,62432143.699999996,62432143.699999996
6,California,2014,59780761.2,59780761.2
6,California,2015,65214962.2,65214962.2
6,California,2016,63457289.0,63457289.0
6,California,2017,60658072.1,60658072.1
6,California,2018,60813872.1,60813872.1
6,California,2019,6855428.7,6855428.7
8,Colorado,1992,2338875.5,8822122.2
8,Colorado,1993,2599136.1,4985762.2
8,Colorado,1994,3054188.6,6085525.7
8,Colorado,1995,3351276.4,5778795.0
8,Colorado,1996,3984609.9,7746824.8
8,Colorado,1997,4041903.1,7982806.9
8,Colorado,1998,3541579.5,6677379.2
8,Colorado,1999,3586899.0,5250987.1
8,Colorado,2000,2975483.5,4646057.7
8,Colorado,2001,6381301.399999999,9858279.7
8,Colorado,2002,5868169.9,8814412.9
8,Colorado,2003,5692346.7,7790775.2
8,Colorado,2004,4152223.6999999997,5569631.3
8,Colorado,2005,3037389.4,5532599.1
8,Colorado,2006,5695486.699999999,7311494.399999999
8,Colorado,2007,4314862.3,6289974.2
8,Colorado,2008,3039125.8,5194528.8
8,Colorado,2009,3385291.0999999996,6400767.5
8,Colorado,2010,5208784.2,7145751.1
8,Colorado,2011,4516695.9,7478152.7
8,Colorado,2012,5876632.4,8157550.8
8,Colorado,2013,6472102.4,9519097.8
8,Colorado,2014,6600284.1,9659865.5
8,Colorado,2015,5488757.1,8845375.4
8,Colorado,2016,7307585.7,8950739.7
8,Colorado,2017,7763955.1,10304790.299999999
8,Colorado,2018,6714893.0,9214770.6
8,Colorado,2019,5739367.4,6915271.800000001
9,Connecticut,1992,143694.5,237780.4
9,Connecticut,1993,228173.0,301401.1
9,Connecticut,1994,185426.5,264282.3
9,Connecticut,1995,311184.9,555427.5
9,Connecticut,1996,188620.0,319164.6
9,Connecticut,1997,244358.7,322841.3
9,Connecticut,1998,136439.4,167024.8
9,Connecticut,1999,161203.4,185779.5
9,Connecticut,2000,177019.69999999998,241262.5
9,Connecticut,2001,156713.0,179769.3
9,Connecticut,2002,79690.4,121138.8
9,Connecticut,2003,141753.1,182688.3
9,Connecticut,2004,182830.6,209781.0
9,Connecticut,2005,124422.3,135720.5
9,Connecticut,2006,163177.3,171329.0
9,Connecticut,2007,160406.6,179140.69999999998
9,Connecticut,2008,147110.5,170654.6
