State,City,ApiaryID,HiveID,InsptDate,Is_First_Inspection,Days_Since_Last_Inspection,Hive_Age_Days,Prev_Brood_Status,Prev_Bees_Status,Prev_Queen_Status,Prev_Food_Status,Prev_Stressors_Status,Prev_Space_Status,Prev_Health_Status,Healthy
NC,Durham,1,1,2016-06-15,1,,0,,,,,,,,0
NC,Durham,1,1,2016-07-22,0,37.0,37,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
NC,Durham,1,1,2016-08-01,0,10.0,47,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1
NC,Durham,1,1,2016-08-08,0,7.0,54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
NC,Durham,1,1,2016-08-15,0,7.0,61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
NC,Durham,1,1,2016-08-22,0,7.0,68,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1
NC,Durham,1,1,2016-08-29,0,7.0,75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
NC,Durham,1,1,2016-09-08,0,10.0,85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
NC,Durham,1,1,2016-09-16,0,8.0,93,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1
NC,Durham,1,1,2016-09-27,0,11.0,104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
NC,Durham,1,1,2016-10-04,0,7.0,111,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
NC,Durham,1,1,2016-10-11,0,7.0,118,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
NC,Durham,1,1,2016-10-24,0,13.0,131,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
NC,Durham,1,1,2017-03-07,0,134.0,265,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
NC,Durham,1,2,2016-07-28,1,,0,,,,,,,,0
NC,Durham,1,2,2016-08-01,0,4.0,4,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0
NC,Durham,1,2,2016-08-08,0,7.0,11,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
NC,Durham,1,3,2017-02-08,1,,0,,,,,,,,0
NC,Durham,1,4,2016-03-18,1,,0,,,,,,,,0
NC,Durham,1,4,2016-03-24,0,6.0,6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1
NC,Durham,1,4,2016-06-15,0,83.0,89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
NC,Durham,1,4,2016-07-28,0,43.0,132,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
NC,Durham,1,4,2016-08-02,0,5.0,137,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
NC,Durham,1,4,2016-08-05,0,3.0,140,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
NC,Durham,1,4,2016-08-09,0,4.0,144,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0
NC,Durham,1,4,2016-08-16,0,7.0,151,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0
NC,Durham,1,4,2016-08-23,0,7.0,158,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0
NC,Durham,1,4,2016-08-29,0,6.0,164,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
NC,Durham,1,4,2016-09-06,0,8.0,172,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
NC,Durham,1,4,2016-09-14,0,8.0,180,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
NC,Durham,1,4,2016-09-27,0,13.0,193,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
NC,Durham,1,4,2016-10-04,0,7.0,200,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
NC,Durham,1,4,2016-10-11,0,7.0,207,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
NC,Durham,1,4,2016-10-24,0,13.0,220,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
NC,Durham,1,4,2017-03-07,0,134.0,354,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
NC,Durham,1,4,2017-03-24,0,17.0,371,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
NC,Durham,1,4,2017-03-29,0,5.0,376,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0
NC,Durham,1,4,2017-04-04,0,6.0,382,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
NC,Durham,1,4,2017-04-10,0,6.0,388,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1
