"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-01","2.91","0.00","0.0","14","24","5",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-02","4.70","0.00","0.0","18","26","11",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-03","3.58","0.00","0.0","23","32","20",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-04","4.92","0.00","0.0","26","35","20",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-05","4.25","0.00","0.0","33","43","30",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-06","2.91","0.00","0.0","37","47","29",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-07","2.68","0.00","0.0","35","48","27",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-08","2.91","0.00","0.0","34","46","26",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-09","2.91","0.00","0.0","33","44","26",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-10","2.46","0.07","0.0","31","36","25",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-11","3.13","0.03","0.0","36","45","33",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-12","5.14","0.69","0.1","38","40","32",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-13","6.93","0.02","0.2","34","39","30",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-14","3.80","0.00","0.0","32","33","27",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-15","4.47","0.00","0.0","31","38","24",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-16","4.47","0.00","0.0","30","36","25",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-17","5.14","0.00","0.0","35","48","26",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-18","6.71","0.00","0.0","40","51","36",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-19","4.92","0.05","0.0","40","46","34",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-20","3.58","0.00","0.0","36","41","28",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-21","4.03","0.00","0.0","31","37","24",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-22","5.59","0.00","0.0","29","40","21",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-23","5.37","0.00","0.0","29","39","23",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-24","4.47","0.00","0.0","31","42","23",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-25","3.13","0.00","0.0","38","52","31",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-26","4.92","0.00","0.0","38","51","30",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-27","6.26","0.00","0.0","39","58","29",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-28","5.14","0.00","0.0","44","50","33",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-29","3.80","0.00","0.0","37","44","28",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-30","3.80","0.00","0.0","39","44","36",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-01-31","7.83","0.00","0.0","40","47","30",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-01","4.92","0.00","0.0","36","50","27",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-02","5.37","0.01","0.0","45","56","41",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-03","6.26","0.00","0.0","49","59","41",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-04","5.14","0.03","0.0","51","58","42",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-05","10.51","0.00","0.0","50","65","40",
