"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-06","16.33","0.00","0.0","56","68","45",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-07","13.87","0.01","0.0","62","68","51",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-08","5.59","0.00","0.0","53","64","41",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-09","9.62","0.11","0.0","53","58","43",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-10","7.16","0.01","0.0","46","52","37",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-11","5.14","0.00","0.0","42","53","32",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-12","4.03","0.00","0.0","44","59","35",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-13","3.80","0.00","0.0","45","59","32",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-14","5.82","0.00","0.0","45","60","35",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-15","5.82","0.00","0.0","44","53","33",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-16","8.95","0.00","0.0","42","50","30",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-17","4.47","0.00","0.0","37","49","26",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-18","6.49","0.00","0.0","40","59","29",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-19","4.47","0.00","0.0","44","61","32",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-20","7.83","0.00","0.0","47","51","37",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-21","7.61","0.03","0.0","40","46","31",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-22","8.05","0.00","0.0","34","41","24",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-23","8.95","0.00","0.0","30","41","21",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-24","5.37","0.00","0.0","33","47","23",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-25","8.05","0.00","0.0","42","53","34",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-26","5.82","0.10","0.0","38","39","31",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-27","7.38","0.00","0.0","35","45","29",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-02-28","5.59","0.01","0.0","36","45","27",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-01","3.36","0.00","0.0","37","48","32",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-02","5.14","0.30","0.3","40","42","32",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-03","7.61","0.18","2.5","34","38","29",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-04","5.82","0.00","0.0","32","40","25",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-05","7.16","0.00","0.0","35","50","27",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-06","5.82","0.00","0.0","40","55","30",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-07","4.92","0.00","0.0","43","59","31",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-08","6.26","0.00","0.0","46","58","32",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-09","5.82","0.00","0.0","45","59","32",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-10","6.71","0.00","0.0","48","65","35",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-11","11.18","0.00","0.0","52","65","42",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-12","5.82","0.05","0.0","53","58","42",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-13","5.59","0.00","0.0","50","64","37",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-14","10.07","0.00","0.0","54","69","42",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-15","12.30","0.00","0.0","60","73","50",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-16","8.05","0.00","0.0","62","74","52",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-17","10.51","0.00","0.0","61","74","47",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-18","8.05","0.00","0.0","56","62","44",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-19","7.16","0.00","0.0","49","60","34",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-20","6.71","0.00","0.0","51","68","38",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-21","8.28","0.00","0.0","56","71","42",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-22","5.37","0.00","0.0","54","66","41",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-23","9.40","0.13","0.0","54","58","40",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-24","8.05","0.05","0.0","44","57","36","    0"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-25","7.16","0.00","0.0","44","51","33",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-26","5.37","0.00","0.0","46","61","35",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-27","5.59","0.00","0.0","53","72","39",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-28","10.07","0.00","0.0","61","74","47",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-29","6.04","0.00","0.0","54","66","39",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-30","5.37","0.00","0.0","55","74","40",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-03-31","15.43","0.00","0.0","62","78","48",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-01","10.07","0.00","0.0","53","54","37",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-02","9.84","0.00","0.0","44","50","35",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-03","6.49","0.00","0.0","42","56","31",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-04","11.63","0.00","0.0","50","68","39",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-05","13.20","0.00","0.0","59","70","48",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-06","10.96","0.00","0.0","53","57","42",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-07","13.20","0.00","0.0","50","64","39",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-08","13.65","0.25","0.0","49","55","37",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-09","6.49","0.00","0.0","44","58","39",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-10","4.92","0.00","0.0","51","66","39",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-11","10.51","0.00","0.0","57","70","45",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-12","9.17","0.00","0.0","54","57","42",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-13","8.50","0.00","0.0","53","74","39",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-14","20.36","0.29","0.3","65","76","33",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-15","6.49","0.51","5.5","33","37","29",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-16","10.29","0.00","0.0","39","55","32",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-17","6.93","0.00","0.0","49","62","38",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-18","5.59","0.00","0.0","54","67","41",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-19","6.71","0.00","0.0","56","68","43",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-20","5.59","0.00","0.0","57","69","43",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-21","7.61","0.00","0.0","59","75","45",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-22","10.51","0.00","0.0","61","74","48",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-23","6.49","0.00","0.0","60","69","51",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-24","10.07","0.48","0.0","58","68","46",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-25","7.16","0.37","0.0","50","59","42",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-26","10.96","0.42","0.0","44","52","39",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-27","9.17","0.00","0.0","49","60","39",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-28","5.82","0.00","0.0","56","71","43",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-29","7.38","0.00","0.0","64","80","49",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-04-30","8.50","0.00","0.0","65","71","55",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-01","5.14","0.00","0.0","62","75","50",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-02","8.72","0.00","0.0","69","82","59",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-03","9.17","0.00","0.0","68","79","57",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-04","7.61","0.00","0.0","67","76","57",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-05","7.16","0.02","0.0","62","69","55",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-06","9.17","0.93","0.0","58","65","48",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-07","8.28","0.04","0.0","54","67","48",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-08","8.05","0.02","0.0","56","65","48",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-09","5.82","0.92","0.0","49","51","44",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-10","4.70","0.00","0.0","48","61","44",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-11","12.08","0.00","0.0","56","73","44",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-12","16.11","0.00","0.0","67","78","58",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-13","10.74","0.00","0.0","66","76","54",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-14","11.86","0.08","0.0","66","72","49",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-15","13.42","0.01","0.0","52","58","46",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-16","7.61","0.49","0.0","49","52","44",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-17","3.58","0.53","0.0","51","63","48",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-18","8.05","0.34","0.0","57","67","49",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-19","6.71","0.14","0.0","52","61","49",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-20","8.95","0.01","0.0","56","68","50",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-21","5.82","0.00","0.0","57","68","48",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-22","7.16","0.00","0.0","58","64","51",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-23","6.49","0.19","0.0","55","60","49",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-24","5.59","0.15","0.0","55","66","47",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-25","6.04","0.01","0.0","59","71","52",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-26","6.71","0.11","0.0","61","62","55",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-27","8.05","0.10","0.0","59","71","51",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-28","8.72","0.10","0.0","60","71","51",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-29","6.04","0.00","0.0","63","76","51",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-30","9.17","0.00","0.0","69","85","56",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-05-31","8.50","0.00","0.0","76","91","61",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-01","15.21","0.00","0.0","80","92","62",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-02","6.71","0.00","0.0","70","80","56",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-03","7.38","0.00","0.0","70","80","58",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-04","6.71","0.00","0.0","68","81","55",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-05","7.16","0.00","0.0","69","80","59",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-06","12.08","0.37","0.0","69","79","56",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-07","5.14","0.00","0.0","64","78","54",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-08","6.49","0.00","0.0","71","86","59",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-09","6.71","0.00","0.0","76","89","64",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-10","10.96","0.00","0.0","78","84","69",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-11","6.71","0.15","0.0","72","78","65",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-12","7.38","0.00","0.0","72","87","61",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-13","5.82","0.00","0.0","75","88","61",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-14","6.26","0.00","0.0","77","89","62",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-15","13.65","0.13","0.0","81","91","69",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-16","6.04","0.00","0.0","77","91","63",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-17","6.71","0.00","0.0","79","94","62",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-18","9.62","0.00","0.0","82","98","68",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-19","8.05","0.00","0.0","84","94","71",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-20","6.93","0.00","0.0","79","93","63",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-21","10.07","0.00","0.0","82","96","65",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-22","6.49","0.00","0.0","80","91","65",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-23","6.49","0.00","0.0","80","94","62",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-24","7.38","0.00","0.0","84","97","69",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-25","6.04","0.00","0.0","83","96","68",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-26","4.47","0.00","0.0","84","99","68",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-27","6.04","0.00","0.0","86","101","72",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-28","6.71","0.00","0.0","88","102","74",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-29","7.61","0.00","0.0","91","104","78",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-06-30","8.28","0.00","0.0","90","101","77",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-01","6.26","0.00","0.0","87","98","75",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-02","6.93","0.00","0.0","87","98","76",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-03","6.93","0.00","0.0","87","99","74",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-04","7.38","0.00","0.0","89","99","79",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-05","6.49","0.03","0.0","81","89","69",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-06","8.28","0.00","0.0","79","89","68",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-07","8.50","0.03","0.0","76","86","66",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-08","9.84","0.93","0.0","73","83","60",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-09","8.28","0.00","0.0","71","85","60",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-10","7.83","0.02","0.0","72","79","64",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-11","14.99","0.00","0.0","75","88","66",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-12","13.20","0.00","0.0","79","91","67",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-13","9.40","0.00","0.0","81","91","70",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-14","7.16","0.00","0.0","78","90","63",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-15","8.28","0.00","0.0","80","90","70",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-16","6.04","0.00","0.0","79","94","65",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-17","10.29","0.00","0.0","80","88","70",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-18","9.62","0.00","0.0","74","83","64",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-19","5.82","0.00","0.0","74","86","61",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-20","6.26","0.06","0.0","73","83","62",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-21","7.16","0.00","0.0","74","88","64",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-22","8.28","0.15","0.0","77","86","68",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-23","7.61","0.00","0.0","74","89","62",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-24","7.61","0.00","0.0","78","92","63",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-25","7.38","0.00","0.0","78","90","66",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-26","12.75","0.00","0.0","83","98","70",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-27","15.66","0.00","0.0","80","84","61",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-28","7.16","0.00","0.0","67","78","54",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-29","4.92","0.00","0.0","69","86","53",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-30","7.16","0.00","0.0","76","93","58",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-07-31","5.59","0.00","0.0","78","95","62",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-08-01","6.71","0.00","0.0","80","95","65",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-08-02","9.62","0.00","0.0","81","92","66",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-08-03","8.05","0.44","0.0","70","75","62",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-08-04","4.92","0.00","0.0","70","92","59",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-08-05","13.87","0.00","0.0","82","90","63",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-08-06","6.71","0.00","0.0","72","88","59",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-08-07","13.65","0.40","0.0","76","84","61",
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2015-08-08","6.93","0.00","0.0","67","79","59",
