State,City,ApiaryID,HiveID,InsptDate,Is_First_Inspection,Days_Since_Last_Inspection,Hive_Age_Days,Prev_Brood_Status,Prev_Bees_Status,Prev_Queen_Status,Prev_Food_Status,Prev_Stressors_Status,Prev_Space_Status,Prev_Health_Status,Healthy,Avg_prcp,Avg_wind,Avg_tmax,Avg_tmin,Avg_tavg,Avg_snow,Num_frost_days
NC,Durham,1,1,2016-06-15,1,,0,,,,,,,,0,0.0,4.825714285714285,86.85714285714286,61.285714285714285,75.14285714285714,0.0,0.0
NC,Durham,1,1,2016-07-22,0,37.0,37,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0.5085714285714286,5.401428571428572,91.0,70.71428571428571,80.28571428571429,0.0,0.0
NC,Durham,1,1,2016-08-01,0,10.0,47,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,0.0414285714285714,6.07,95.28571428571428,74.71428571428571,84.14285714285714,0.0,0.0
NC,Durham,1,1,2016-08-08,0,7.0,54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.2728571428571428,5.911428571428572,89.14285714285714,72.71428571428571,79.28571428571429,0.0,0.0
NC,Durham,1,1,2016-08-15,0,7.0,61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0771428571428571,6.262857142857143,92.57142857142856,75.0,82.57142857142857,0.0,0.0
NC,Durham,1,1,2016-08-22,0,7.0,68,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,0.0542857142857142,5.241428571428571,93.85714285714286,74.57142857142857,83.0,0.0,0.0
NC,Durham,1,1,2016-08-29,0,7.0,75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0257142857142857,4.345714285714286,91.71428571428572,68.42857142857143,79.28571428571429,0.0,0.0
NC,Durham,1,1,2016-09-08,0,10.0,85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.2257142857142857,5.592857142857143,86.0,63.71428571428572,74.0,0.0,0.0
NC,Durham,1,1,2016-09-16,0,8.0,93,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0.0,6.167142857142857,91.0,68.85714285714286,79.42857142857143,0.0,0.0
NC,Durham,1,1,2016-09-27,0,11.0,104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.1085714285714285,6.1657142857142855,80.0,68.14285714285714,73.14285714285714,0.0,0.0
