ID_state,ID_year,Quarter,pcpn,tmax,tmin,tmpc
1,2015,Q1,0.5266777329855348,0.5655677655677656,0.5225,0.5467683661180249
1,2015,Q2,0.5755276262746027,0.8358974358974358,0.8324999999999999,0.8434363709353673
1,2015,Q3,0.519326535451743,0.898168498168498,0.9129166666666666,0.9173022882376555
1,2015,Q4,0.7384396490396017,0.7,0.6900000000000001,0.7009233239662787
1,2016,Q1,0.5897557505335548,0.6032967032967034,0.5616666666666668,0.586109995985548
1,2016,Q2,0.5020156509366849,0.8326007326007326,0.8058333333333334,0.8289843436370935
1,2016,Q3,0.4768792980792032,0.9282051282051282,0.9383333333333332,0.9462063428342031
1,2016,Q4,0.4036044581456012,0.7153846153846153,0.6329166666666668,0.6820553994379768
1,2017,Q1,0.6303059046715674,0.6586080586080586,0.6145833333333334,0.641910879164994
1,2017,Q2,0.7431823571259188,0.8260073260073258,0.8116666666666668,0.8285828984343638
1,2017,Q3,0.5672278871235475,0.884981684981685,0.9100000000000001,0.9084704937775993
1,2017,Q4,0.4863647142518378,0.6611721611721613,0.6275000000000001,0.6495383380168608
1,2018,Q1,0.5518140858430164,0.606959706959707,0.5675000000000001,0.5913287836210358
1,2018,Q2,0.6065923642399811,0.8318681318681317,0.8070833333333335,0.8297872340425531
1,2018,Q3,0.5985297604932417,0.9076923076923076,0.9412499999999998,0.9357687675632275
1,2018,Q4,0.6751244960872659,0.6421245421245423,0.6370833333333333,0.6435166599759133
1,2019,Q1,0.5966326772587147,0.6146520146520146,0.59125,0.6065837013247692
1,2019,Q2,0.5653308038890207,0.8391941391941391,0.82,0.8402248093135285
1,2019,Q3,0.44960872658287887,0.9318681318681319,0.9291666666666668,0.9429947812123644
1,2019,Q4,0.6284088214370406,0.6663003663003663,0.6329166666666668,0.6551585708550782
1,2020,Q1,0.7951150106710931,0.6347985347985349,0.6216666666666668,0.6322761942994781
1,2020,Q2,0.603272468579559,0.8091575091575091,0.7883333333333334,0.8081091930951425
1,2020,Q3,0.6312544462888309,0.8890109890109891,0.9270833333333333,0.918908069048575
1,2020,Q4,0.5036755987668959,0.676923076923077,0.63375,0.6611802488960258
1,2021,Q1,0.6054066872184017,0.6014652014652015,0.5679166666666667,0.5877157767964674
1,2021,Q2,0.6760730377045293,0.8087912087912087,0.7904166666666668,0.8089120835006021
1,2021,Q3,0.6945695992411667,0.8791208791208791,0.9208333333333332,0.9100762745885187
1,2021,Q4,0.47403367322741286,0.6941391941391942,0.6562499999999999,0.681653954235247
